year,quarter,date,entity,assets,credit_loss_allowances,res_mortgages_open,other_adj_equity,fiduciary_activities,total_nii,tr_comm,investment_banking_fees,FI01650,res_mortgages_closed,net_servicing_fees,insurcance_commissions,ng_other_assets,net_sec_income,ng_other_real_estate,rent_other_real_estate,total_tr,check_printing_fees,earnings_life_insurance,atm_fees,safe_deposit_rent,service_charges,net_change_fair_value,card_interchange_fees,vc_rev,tr_int_rt_exp,tr_foreign_ex,tr_credit,tr_equity,ng_sale_loans,ng_credit_deriv,sale_mutual_funds,ng_assets_fv,other_nii,name,rssd9002,ID_RSSD,D_DT_START,D_DT_END,NM_SHORT,DOMESTIC_IND,rank
1990,3,90Q3,1040795,104661240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040795,1040795,1040795,1/1/1990,8/9/1991,CHASE MANHATTAN CORP,Y,3
1990,3,90Q3,1037115,95581157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1037115,1037115,1037115,12/21/1981,6/7/1991,J P MORGAN & CO,Y,4
1990,3,90Q3,1024526,91535000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024526,1024526,1024526,8/27/1990,3/7/1991,SECURITY PACIFIC CORP,Y,5
1990,3,90Q3,1039502,74444000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039502,1039502,1039502,8/13/1990,4/14/1991,CHEMICAL BKG CORP,Y,6
1990,3,90Q3,1073757,69224288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073757,1073757,1073757,8/27/1990,12/30/1991,NCNB CORP,Y,7
1990,3,90Q3,1035296,66002000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035296,1035296,1035296,6/1/1987,12/30/1991,MANUFACTURERS HAN CORP,Y,8
1990,3,90Q3,1032473,59993000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032473,1032473,1032473,10/7/1985,4/29/1997,BANKERS TR NY CORP,Y,9
1990,3,90Q3,1023538,53876094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023538,1023538,1023538,7/1/1990,5/15/1991,FIRST INTRST BC,Y,10
1990,3,90Q3,1027095,51539626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027095,1027095,1027095,12/31/1970,6/7/1995,WELLS FARGO & CO,Y,11
1990,3,90Q3,1201028,51226000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201028,1201028,1201028,9/14/1990,7/31/1991,FIRST CHICAGO CORP,Y,12
1990,3,90Q3,1831715,50117247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1831715,1831715,1831715,9/1/1990,12/9/1990,C&S/SOVRAN CORP,Y,13
1990,3,90Q3,1033470,47814530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033470,1033470,1033470,10/7/1989,8/10/1993,BANK OF NY CO,Y,14
1990,3,90Q3,1069778,45684165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069778,1069778,1069778,6/29/1989,11/15/1990,PNC FNCL CORP,Y,15
1990,3,90Q3,1068294,41455030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068294,1068294,1068294,8/18/1990,2/27/1991,BANC ONE CORP,Y,16
1990,3,90Q3,1073551,39052537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073551,1073551,1073551,6/30/1990,12/2/1992,FIRST UNION CORP,Y,17
1990,3,90Q3,1112076,36987099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112076,1112076,1112076,12/30/1988,7/8/1993,BANK OF BOSTON CORP,Y,18
1990,3,90Q3,1113514,33604404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113514,1113514,1113514,10/1/1989,4/28/1991,FLEET/NORSTAR FNCL GROUP,Y,19
1990,3,90Q3,1131787,32020513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131787,1131787,1131787,8/1/1990,12/6/1990,SUNTRUST BANKS,Y,20
1990,3,90Q3,1076776,31360235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076776,1076776,1076776,6/22/1990,3/31/1992,BARNETT BANKS,Y,21
1990,3,90Q3,1021075,29371657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1021075,1021075,1021075,4/28/1987,9/19/1993,REPUBLIC NY CORP,Y,22
